Category,Indicator name,Description,Definition (US),Definition (global),US item,Global item,US indicator start,US indicator end,Global indicator start,Global indicator end
Vaccines,dontneed_reason_other,"Percentage of all respondents to (V5a, V5b, OR V5c) AND V6 who don’t think believe they need a COVID-19 vaccine for another reason",((V5a|V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'Other.'))/ (any response to V5a|V5b|V5c & any response to V6),((V5a|V5b|V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'Other.'))/ (any response to V5a|V5b|V5c & any response to V6),"V5a|V5b|V5c, V6","V5a|V5b|V5c, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,hesitant_barrier_distrust_govt,Percentage of all hesitant respondents to V5 who don’t trust the government,(V5b|V5c == 'I don't trust the government.') / (any response to V5b|V5c),(V5a|V5b == 'I don't trust the government.') / (any response to V5a|V5b),V5b|V5c,V5a|V5b,2021-02-07,2022-06-25,2021-02-28,2022-06-25
Vaccines,defno_barrier_sideeffects,Percentage of respondents who would definitely not choose to get vaccinated and who are concerned about possible side effects of a COVID-19 vaccine,(V5c == 'I am concerned about possible side effects of a COVID-19 vaccine.') / (any response to V5c),(V5a == 'I am concerned about possible side effects of a COVID-19 vaccine.') / (any response to V5a),V5c,V5a,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,defno_barrier_allergic,Percentage of respondents who would definitely not choose to get vaccinated AND who are concerned about having an allergic reaction to a COVID-19 vaccine,(V5c == 'I am concerned about having an allergic reaction to a COVID-19 vaccine.') / (any response to V5c),NA,V5c,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,defno_barrier_ineffective,Percentage of respondents who would definitely not choose to get vaccinated AND who don’t know if a COVID-19 vaccine will work,(V5c == 'I don’t know if a COVID-19 vaccine will work.') / (any response to V5c),(V5a == 'I don’t know if a COVID-19 vaccine will work.') / (any response to V5a),V5c,V5a,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,defno_barrier_dontneed,Percentage of respondents who would definitely not choose to get vaccinated AND who don’t believe they need a COVID-19 vaccine,(V5c == 'I don't believe I need a COVID-19 vaccine.') / (any response to V5c),(V5a == 'I don't believe I need a COVID-19 vaccine.') / (any response to V5a),V5c,V5a,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,defno_barrier_dislike_vaccines,Percentage of respondents who would definitely not choose to get vaccinated AND who don’t like vaccines,(V5c == 'I don't like vaccines.') / (any response to V5c),(V5a == 'I don't like vaccines.') / (any response to V5a),V5c,V5a,2021-02-07,2021-12-25,2021-01-31,2021-12-25
Vaccines,defno_barrier_dislike_vaccines_generally,Percentage of respondents who would definitely not choose to get vaccinated AND who don’t like vaccines generally,(V5c == 'I don't like vaccines generally.') / (any response to V5c),NA,V5c,NA,2021-12-19,2022-06-25,NA,NA
Vaccines,defno_barrier_not_recommended,Percentage of respondents who would definitely not choose to get vaccinated AND whose doctors have not recommended it,(V5c == 'My doctor has not recommended it.') / (any response to V5c),NA,V5c,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,defno_barrier_wait_safety,Percentage of respondents who would definitely not choose to get vaccinated AND who plan to wait and see if it is safe and may get it later,(V5c == 'I plan to wait and see if it is safe and may get it later.') / (any response to V5c),(V5a == 'I plan to wait and see if it is safe and may get it later.') / (any response to V5a),V5c,V5a,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,defno_barrier_low_priority,Percentage of respondents who would definitely not choose to get vaccinated AND who think other people need it more than they do right now,(V5c == 'I think other people need it more than I do right now.') / (any response to V5c),(V5a == 'I think other people need it more than I do right now.') / (any response to V5a),V5c,V5a,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,defno_barrier_cost,Percentage of respondents who would definitely not choose to get vaccinated AND who are concerned about the cost of a COVID-19 vaccine,(V5c == 'I am concerned about the cost of a COVID-19 vaccine.') / (any response to V5c),(V5a == 'I am concerned about the cost of a COVID-19 vaccine.') / (any response to V5a),V5c,V5a,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,defno_barrier_distrust_vaccines,Percentage of respondents who would definitely not choose to get vaccinated AND who don’t trust COVID-19 vaccines,(V5c == 'I don't trust COVID-19 vaccines') / (any response to V5c),NA,V5c,NA,2021-02-07,2022-06-25,NA,NA
Vaccines,defno_barrier_distrust_govt,Percentage of respondents who would definitely not choose to get vaccinated AND who don’t trust the government,(V5c == 'I don't trust the government.') / (any response to V5c),(V5a == 'I don't trust the government.') / (any response to V5a),V5c,V5a,2021-02-07,2022-06-25,2021-02-28,2022-06-25
Vaccines,defno_barrier_religious,Percentage of respondents who would definitely not choose to get vaccinated AND who say a COVID-19 vaccine is against their religious beliefs,(V5c == 'It is against my religious beliefs.') / (any response to V5c),(V5a == 'It is against my religious beliefs.') / (any response to V5a),V5c,V5a,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,defno_barrier_health_condition,Percentage of respondents who would definitely not choose to get vaccinated AND who have a health condition and are concerned about the safety of the vaccine for people with their condition,"(V5c == 'I have a health condition and am concerned about the safety of the vaccine for
people with my condition.') / (any response to V5c)",NA,V5c,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,defno_barrier_pregnant,Percentage of respondents who would definitely not choose to get vaccinated AND who are currently/planning to be pregnant and/or breastfeeding and do not want to get vaccinated at this time,"(V5c == 'I am currently/planning to be pregnant and/or breastfeeding and do not want to
get vaccinated at this time.') / (any response to V5c)",NA,V5c,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,defno_barrier_other,Percentage of respondents who would definitely not choose to get vaccinated  AND V6 who have a another barrier to choosing to get a COVID-19 vaccine,(V5c == 'Other.') / (any response to V5c),(V5a == 'Other.') / (any response to V5a),V5c,V5a,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,defno_dontneed_reason_had_covid,Percentage of respondents who would definitely not choose to get vaccinated who responded to V5c AND V6 who have already had COVID-19,((V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I already had COVID-19.'))/ (any response to V5c & any response to V6),((V5a == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I already had COVID-19.'))/ (any response to V5a & any response to V6),"V5c, V6","V5a, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,defno_dontneed_reason_dont_spend_time,Percentage of respondents who would definitely not choose to get vaccinated who responded to V5c AND V6 who do not spend time with any high-risk people,((V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I do not spend time with any high-risk people.'))/ (any response to V5c & any response to V6),((V5a == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I do not spend time with any high-risk people.'))/ (any response to V5a & any response to V6),"V5c, V6","V5a, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,defno_dontneed_reason_not_high_risk,Percentage of respondents who would definitely not choose to get vaccinated who responded to V5c AND V6 who are not a member of a high-risk group,((V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I am not a member of a high-risk group.'))/ (any response to V5c & any response to V6),((V5a == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I am not a member of a high-risk group.'))/ (any response to V5a & any response to V6),"V5c, V6","V5a, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,defno_dontneed_reason_precautions,Percentage of respondents who would definitely not choose to get vaccinated who responded to V5c AND V6 who plan to use masks or other precautions instead,((V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I plan to use masks or other precautions instead.'))/ (any response to V5c & any response to V6),((V5a == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I plan to use masks or other precautions instead.'))/ (any response to V5a & any response to V6),"V5c, V6","V5a, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,defno_dontneed_reason_not_serious,Percentage of respondents who would definitely not choose to get vaccinated who responded to V5c AND V6 who don’t believe COVID-19 is a serious illness,((V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I don't believe COVID-19 is a serious illness.'))/ (any response to V5c & any response to V6),((V5a == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I don't believe COVID-19 is a serious illness.'))/ (any response to V5a & any response to V6),"V5c, V6","V5a, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,defno_dontneed_reason_not_beneficial,Percentage of respondents who would definitely not choose to get vaccinated who responded to V5c AND V6 who don’t think vaccines are beneficial,((V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I don't think vaccines are beneficial.')/ (any response to V5c & any response to V6),((V5a == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'I don't think vaccines are beneficial.')/ (any response to V5a & any response to V6),"V5c, V6","V5a, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,defno_dontneed_reason_other,Percentage of respondents who would definitely not choose to get vaccinated who responded to V5c AND V6 who don’t think believe they need a COVID-19 vaccine for another reason,((V5c == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'Other'))/ (V5c == any response & V6 == any response),((V5a == 'I don't believe I need a COVID-19 vaccine.') & (V6 == 'Other'))/ (V5a == any response & V6 == any response),"V5c, V6","V5a, V6",2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,informed_access,Percentage of respondents who are very or moderately informed about how to get a vaccination,V13 ==  'very informed' | V13 == 'moderately informed' / any response to V13,V13 ==  'very informed' | V13 == 'moderately informed' / any response to V13,V13,V13,2021-02-28,2021-08-07,2021-02-28,2021-09-04
Vaccines,appointment_have,Percentage of people who have an appointment to get a COVID-19 vaccine conditional on being accepting,V11 = 'yes' / any response to V11,V15 == 'yes' / any response to V15,V11,V15,2021-02-28,2021-08-07,2021-02-28,2022-06-25
Vaccines,appointment_tried,Percentage of people without an appointment who have tried to get one conditional on being accepting,V12 == 'yes' / any response to V12,V16 == 'yes' / any response to V16,V12,V16,2021-02-28,2021-08-07,2021-02-28,2021-09-04
Vaccines,appointment_or_accept_vaccine,Percentage who have an appointment or would definitely or probably choose to get vaccinated,"(V11a == 'yes' | (V3a == 'yes, definitely' | V3a == 'yes, probably')) / (any response to V3a | V11a == 'yes')","(V15a == 'yes' | (V3a == 'yes, definitely' | V3a == 'yes, probably')) / (any response to V3a | V15a == 'yes')","V3a, V11a","V3a, V15a",2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,vaccinated_appointment_or_accept,"Percentage of who have either already reecived a COVID vaccine, have an appointment, or would definitely or probably choose to get vaccinated","(V1 == 'yes' | (V3a == 'yes, definitely' | V3a == 'yes, probably') | V11a == 'yes') / (any response to V3a | V1 == 'yes' | V11a == 'yes')","(V1 == 'yes' | (V3a == 'yes, definitely' | V3a == 'yes, probably') | V15a == 'yes') / (any response to V3a | V1 == 'yes' | V15a == 'yes')","V1, V3a, V11a","V1, V3a, V15a",2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,accept_vaccine_no_appointment,Percentage who would definitely or probably choose to get vaccinated but who do not have an appointment,"(V3a == 'yes, definitely would' | V3a == 'yes, probably would') / any response to V3a",NA,V3a,NA,2021-05-16,2022-06-25,NA,NA
Vaccines,accept_vaccine_no_appointment_defyes,Percentage who would definitely choose to get vaccinated but who do not have an appointment,"V3a == 'yes, definitely would' / any response to V3a","V3a == 'yes, definitely would' / any response to V3a",V3a,V3a,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,accept_vaccine_no_appointment_probyes,Percentage who would probably choose to get vaccinated and who do not have an appointment,"V3a == 'yes, probably would' / any response to V3a","V3a == 'yes, probably would' / any response to V3a",V3a,V3a,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,accept_vaccine_no_appointment_probno,Percentage who would probably not choose to get vaccinated and who do not have an appointment,"V3a == 'no, probably would not' / any response to V3a","V3a == 'no, probably would not' / any response to V3a",V3a,V3a,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,accept_vaccine_no_appointment_defno,Percentage who would definitely not choose to get vaccinated and who do not have an appointment,"V3a == 'no, definitely would not' / any response to V3a","V3a == 'no, definitely would not' / any response to V3a",V3a,V3a,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,trust_covid_info_doctors,"Percentage of people who trust COVID info from local health works, clinics, and community organizations",I6_1 == 'trust' / any response to I6_1,I6_1 == 'trust' / any response to I6_1,I6_1,I6_1,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,trust_covid_info_experts,Percentage of people who trust COVID info from scientists and other health experts,I6_2 == 'trust' / any response to I6_2,I6_2 == 'trust' / any response to I6_2,I6_2,I6_2,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,trust_covid_info_cdc,Percentage of people who trust COVID info from the Centers for Disease Control,I6_3 == 'trust' / any response to I6_3,NA,I6_3,NA,2021-05-16,2022-06-25,NA,NA
Vaccines,trust_covid_info_who,Percentage of people who trust COVID info from the World Health Organization,NA,I6_3 == 'trust' / any response to I6_3,NA,I6_3,NA,NA,2021-05-16,2022-06-25
Vaccines,trust_covid_info_govt_health,Percentage of people who trust COVID info from government health authorities,I6_4 == 'trust' / any response to I6_4,I6_4 == 'trust' / any response to I6_4,I6_4,I6_4,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,trust_covid_info_politicians,Percentage of people who trust COVID info from politicians,I6_5 == 'trust' / any response to I6_5,I6_5 == 'trust' / any response to I6_5,I6_5,I6_5,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,trust_covid_info_journalists,Percentage of people who trust COVID info from journalists,I6_6 == 'trust' / any response to I6_6,I6_6 == 'trust' / any response to I6_6,I6_6,I6_6,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,trust_covid_info_friends,Percentage of people who trust COVID info from friends and family,I6_7 == 'trust' / any response to I6_7,I6_7 == 'trust' / any response to I6_7,I6_7,I6_7,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,trust_covid_info_religious,Percentage of people who trust COVID info from religious leaders,I6_8 == 'trust' / any response to I6_8,I6_8 == 'trust' / any response to I6_8,I6_8,I6_8,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Vaccines,hesitant_trust_covid_info_doctors,"Percentage of people who trust COVID info from local health works, clinics, and community organizations among those who are hesitant","I6_1 == 'trust doctors' / (any response to I6 & (V3a == 'no, probably not' | V3a == 'no, definitely not'))","I6_1 == 'trust doctors' / (any response to I6 & (V3a == 'no, probably not' | V3a == 'no, definitely not'))","V3a, I6_1","V3a, I6_1",2021-05-16,2022-06-25,2021-05-16,2022-06-25
